url,address,location,price,detail1,detail2,page
"https://www.loopnet.com/Listing/525-Huntington-Ave-San-Bruno-CA/39389795/","525 Huntington Ave","San Bruno, CA 94066","$1,980,000","6.58% Cap Rate","6 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1927-1929-Taraval-St-San-Francisco-CA/39376840/","1927-1929 Taraval St","San Francisco, CA 94116","$2,450,000","4 Unit Apartment Building","4,812 SF","4"
"https://www.loopnet.com/Listing/2710-2718-Kollmar-Dr-San-Jose-CA/39376489/","2710-2718 Kollmar Dr","San Jose, CA 95127","$14,668,000","6.80% Cap Rate","42 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1425-1427-ML-King-Jr-Way-Berkeley-CA/39375752/","1425-1427 M.L. King Jr. Way","Berkeley, CA 94709","$2,050,000","4.57% Cap Rate","4 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1728-Broadway-St-Redwood-City-CA/39375382/","1728 Broadway St","Redwood City, CA 94063","$1,950,000","6 Unit Apartment Building","4,452 SF","4"
"https://www.loopnet.com/Listing/1043-1053-Fell-St-San-Francisco-CA/39375127/","1043-1053 Fell St","San Francisco, CA 94117","$3,950,000","5.71% Cap Rate","9 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/1039-Channing-Way-Berkeley-CA/39342498/","1039 Channing Way","Berkeley, CA 94710","$1,550,000","6.43% Cap Rate","4 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/3021-22nd-St-San-Francisco-CA/39340761/","3021 22nd St","San Francisco, CA 94110","$699,995","4.03% Cap Rate","3 Unit Apartment Building","4"
"https://www.loopnet.com/Listing/968-Addison-St-Berkeley-CA/39340207/","968 Addison St","Berkeley, CA 94710","$3,996,000","5.16% Cap Rate","18 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/2801-College-Ave-Berkeley-CA/39339768/","2801 College Ave","Berkeley, CA 94705","$4,628,000","5.60% Cap Rate","21 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/2231-2233-Grant-St-Berkeley-CA/39339640/","2231-2233 Grant St","Berkeley, CA 94703","$5,200,000","5.69% Cap Rate","22 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/25039-Cypress-Ave-Hayward-CA/39326880/","25039 Cypress Ave","Hayward, CA 94544","$2,250,000","5.52% Cap Rate","9 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/960-962-W-Weddell-Dr-Sunnyvale-CA/39322980/","960-962 W Weddell Dr","Sunnyvale, CA 94089","$4,775,000","5.53% Cap Rate","20 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/1272-Hampshire-St-San-Francisco-CA/39313312/","1272 Hampshire St","San Francisco, CA 94110","$999,000","7.02% Cap Rate","3 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/1507-Prince-St-Berkeley-CA/39310660/","1507 Prince St","Berkeley, CA 94703","$2,850,000","7.46% Cap Rate","13 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/1140-E-22nd-St-Oakland-CA/39307330/","1140 E 22nd St","Oakland, CA 94606","$1,725,000","6.42% Cap Rate","5 Unit Apartment Building","5"
"https://www.loopnet.com/Listing/1610-Milvia-St-Berkeley-CA/39307288/","1610 Milvia St","Berkeley, CA 94709","$5,199,000","8 Unit Apartment Building","6,766 SF","5"
"https://www.loopnet.com/Listing/2041-Beatrice-Ct-San-Jose-CA/39302195/","2041 Beatrice Ct","San Jose, CA 95128","$3,300,000","12 Unit Apartment Building","6,104 SF","5"
